#ProvID, Culture, Religion, TradeGoods, Citizens, Freedmen,serfs, Slaves,aristocracy,mages,nobility, Tribesmen, Civilization, Barbarian,city status, NameRef,AraRef
1,,,,0,0,0,0,0,0,0,0,0,0,,Roma,north_west_sea_area
2,,,,0,0,0,0,0,0,0,0,0,0,,PROV2,shout_far_sea
3,,,,0,0,0,0,0,0,0,0,0,0,,PROV3,north_west_sea_area
4,,,,0,0,0,0,0,0,0,0,0,0,,PROV4,far_north_sea_area
5,,,,0,0,0,0,0,0,0,0,0,0,,PROV5,far_north_sea_area
6,,,,0,0,0,0,0,0,0,0,0,0,,PROV6,far_north_sea_area
7,,,,0,0,0,0,0,0,0,0,0,0,,PROV7,new_north_waters_area
8,,,,0,0,0,0,0,0,0,0,0,0,,PROV8,new_north_waters_area
9,,,,0,0,0,0,0,0,0,0,0,0,,PROV9,new_north_waters_area
10,,,,0,0,0,0,0,0,0,0,0,0,,PROV10,north_west_sea_area
11,,,,0,0,0,0,0,0,0,0,0,0,,PROV11,far_north_sea_area
12,,,,0,0,0,0,0,0,0,0,0,0,,PROV12,far_north_sea_area
13,,,,0,0,0,0,0,0,0,0,0,0,,PROV13,new_north_waters_area
14,,,,0,0,0,0,0,0,0,0,0,0,,PROV14,far_north_sea_area
15,,,,0,0,0,0,0,0,0,0,0,0,,PROV15,far_north_sea_area
16,,,,0,0,0,0,0,0,0,0,0,0,,PROV16,new_north_waters_area
17,,,,0,0,0,0,0,0,0,0,0,0,,PROV17,far_north_sea_area
18,,,,0,0,0,0,0,0,0,0,0,0,,PROV18,far_north_sea_area
19,,,,0,0,0,0,0,0,0,0,0,0,,PROV19,far_north_sea_area
20,,,,0,0,0,0,0,0,0,0,0,0,,PROV20,aramau_sea
21,,,,0,0,0,0,0,0,0,0,0,0,,PROV21,northern_inter_sea
22,,,,0,0,0,0,0,0,0,0,0,0,,PROV22,aramau_sea
23,polarian_arame_1,shamanist_beliefs,fish,0,0,0,0,0,0,0,1,15,0,,PROV23,polaris_glacier_area_1
24,,,,0,0,0,0,0,0,0,0,0,0,,PROV24,far_north_sea_area
25,,,,0,0,0,0,0,0,0,0,0,0,,PROV25,north_west_sea_area
26,,,,0,0,0,0,0,0,0,0,0,0,,PROV26,far_north_sea_area
27,,,,0,0,0,0,0,0,0,0,0,0,,PROV27,aramau_sea
28,,,,0,0,0,0,0,0,0,0,0,0,,PROV28,far_north_sea_area
29,,,,0,0,0,0,0,0,0,0,0,0,,PROV29,north_west_sea_area
30,,,,0,0,0,0,0,0,0,0,0,0,,PROV30,kitai_sea
31,,,,0,0,0,0,0,0,0,0,0,0,,PROV31,far_north_sea_area
32,,,,0,0,0,0,0,0,0,0,0,0,,PROV32,north_west_sea_area
33,,,,0,0,0,0,0,0,0,0,0,0,,PROV33,far_north_sea_area
34,polarian_arame_1,shamanist_beliefs,fish,0,0,0,0,0,0,0,2,15,0,,PROV34,polaris_glacier_area_1
35,polarian_arame_1,shamanist_beliefs,fish,0,0,0,0,0,0,0,2,15,0,,PROV35,polaris_glacier_area_1
36,,,,0,0,0,0,0,0,0,0,0,0,,PROV36,northern_inter_sea
37,polarian_arame_2,shamanist_beliefs,fish,0,0,0,0,0,0,0,1,15,0,,PROV37,polaris_glacier_area_2
38,,,,0,0,0,0,0,0,0,0,0,0,,PROV38,north_west_sea_area
39,polarian_arame_1,shamanist_beliefs,fur,0,0,0,0,0,0,0,1,15,0,,PROV39,polaris_glacier_area_1
40,,,,0,0,0,0,0,0,0,0,0,0,,PROV40,far_north_sea_area
